Match_Id,Team_1,Team_2,Match_Date,Season_Id,Venue_Id,Toss_Winner,Toss_Decide,Win_Type,Win_Margin,Outcome_type,Match_Winner,Man_of_the_Match
336030,1,3,2008-05-18,1,5,1,2,1,3,1,3,122
336031,2,6,2008-05-19,1,1,6,1,2,5,1,6,132
336032,1,5,2008-05-20,1,5,5,1,2,6,1,5,31
336033,7,4,2008-05-21,1,4,7,1,1,1,1,4,100
336034,3,2,2008-05-21,1,8,2,2,1,14,1,2,124
336036,4,8,2008-05-23,1,2,4,1,2,6,1,4,100
336037,6,7,2008-05-24,1,3,6,1,2,5,1,6,88
336038,3,5,2008-05-24,1,8,5,2,1,10,1,5,109
336039,2,8,2008-05-03,1,1,8,1,1,3,1,2,14
336040,1,4,2008-05-25,1,5,4,2,2,3,1,1,105
336041,5,7,2008-05-26,1,6,5,1,2,5,1,5,102
336042,8,3,2008-05-27,1,7,8,2,2,7,1,3,21
336043,6,5,2008-05-30,1,4,6,1,1,105,1,5,32
336044,3,4,2008-05-31,1,4,4,2,2,9,1,3,122
336045,3,5,2008-06-01,1,9,5,1,2,3,1,5,31
392186,3,7,2009-04-18,2,10,3,1,1,19,1,7,133
392187,2,5,2009-04-18,2,10,2,2,1,75,1,2,6
392188,6,4,2009-04-19,2,10,6,1,2,10,1,6,175
392189,8,1,2009-04-19,2,10,1,2,2,8,1,8,61
392190,2,3,2009-04-20,2,11,3,2,1,92,1,3,121
392191,4,1,2009-04-21,2,12,1,1,1,11,1,1,162
392193,2,8,2009-04-22,2,10,8,2,1,24,1,8,53
392194,3,6,2009-04-23,2,12,6,2,1,9,1,6,110
392195,1,5,2009-04-23,2,10,1,1,4,,3,5,31
392196,2,4,2009-04-24,2,12,2,2,2,7,1,4,161
392197,8,7,2009-04-25,2,12,8,2,1,12,1,8,131
392199,2,6,2009-04-26,2,11,2,2,2,6,1,6,135
392200,4,5,2009-04-26,2,10,4,2,1,27,1,4,26
392201,3,8,2009-04-27,2,12,8,1,2,6,1,8,97
392202,1,7,2009-04-27,2,11,7,2,1,92,1,7,133
392203,6,5,2009-04-28,2,13,6,2,2,5,1,5,31
392204,2,1,2009-04-29,2,12,1,2,2,5,1,2,11
392205,4,7,2009-04-29,2,12,4,2,1,3,1,4,26
392206,8,6,2009-04-30,2,13,6,1,2,6,1,6,223
392207,3,5,2009-04-30,2,13,5,1,1,38,1,3,21
392208,1,7,2009-05-01,2,14,7,2,1,9,1,7,154
392209,2,4,2009-05-01,2,12,2,2,1,8,1,2,27
392210,8,5,2009-05-02,2,11,8,2,2,3,1,5,31
392211,3,6,2009-05-02,2,15,6,1,1,18,1,3,186
392212,4,1,2009-05-03,2,11,1,2,2,6,1,4,64
392213,2,7,2009-05-03,2,15,7,2,2,9,1,2,9
392214,3,8,2009-05-04,2,14,3,2,1,78,1,3,20
392215,4,5,2009-05-05,2,12,4,1,1,78,1,5,74
392216,6,1,2009-05-05,2,12,1,2,2,9,1,6,40
392217,8,7,2009-05-06,2,13,8,2,1,19,1,8,57
392218,2,5,2009-05-07,2,13,5,1,2,7,1,5,196
392219,3,4,2009-05-07,2,13,3,2,1,12,1,3,18
392220,6,7,2009-05-08,2,14,7,2,2,7,1,6,73
392221,8,4,2009-05-09,2,16,4,1,2,3,1,4,64
392222,3,5,2009-05-09,2,16,5,2,2,7,1,3,23
392223,2,7,2009-05-10,2,11,7,2,1,16,1,7,154
392224,6,1,2009-05-10,2,15,6,1,2,7,1,6,136
392225,8,5,2009-05-11,2,16,8,2,1,53,1,8,147
392226,2,1,2009-05-12,2,13,2,1,2,6,1,2,52
392227,4,7,2009-05-12,2,13,4,2,2,8,1,7,50
392228,8,6,2009-05-13,2,12,8,1,1,12,1,6,89
392229,2,3,2009-05-14,2,12,3,2,2,2,1,2,52
392230,7,5,2009-05-14,2,12,5,2,1,2,1,5,38
392231,6,4,2009-05-15,2,17,4,1,2,6,1,4,66
392232,3,7,2009-05-16,2,11,7,2,2,7,1,3,18
392233,8,1,2009-05-16,2,15,8,1,2,6,1,8,57
392234,8,4,2009-05-17,2,15,8,1,1,1,1,4,27
392235,6,5,2009-05-17,2,17,6,2,1,14,1,6,110
392236,3,1,2009-05-18,2,13,3,2,2,7,1,1,104
392237,2,6,2009-05-19,2,15,6,2,2,7,1,2,9
392238,1,5,2009-05-20,2,12,1,1,2,4,1,1,63
392239,3,4,2009-05-20,2,12,3,2,1,24,1,3,121
392240,6,7,2009-05-21,2,13,6,1,2,4,1,6,41
392241,2,8,2009-05-21,2,13,2,2,1,12,1,2,96
392242,6,8,2009-05-22,2,13,8,1,2,6,1,8,53
392243,2,3,2009-05-23,2,15,2,1,2,6,1,2,96
392244,2,8,2009-05-24,2,15,2,1,1,6,1,8,124
419111,8,1,2010-03-12,3,9,8,1,1,11,1,1,191
419112,7,5,2010-03-13,3,18,7,2,1,4,1,7,31
419113,4,6,2010-03-13,3,2,6,1,2,5,1,6,40
419114,1,2,2010-03-14,3,5,1,1,2,7,1,1,87
419115,3,8,2010-03-14,3,8,8,2,1,31,1,8,60
419116,5,6,2010-03-15,3,19,6,1,2,6,1,6,41
419117,2,4,2010-03-16,3,1,4,2,2,8,1,2,9
419118,1,3,2010-03-16,3,5,3,2,1,55,1,3,20
419119,6,7,2010-03-17,3,3,6,1,1,98,1,7,133
419120,2,5,2010-03-18,3,1,2,1,2,10,1,2,9
419121,6,3,2010-03-19,3,3,6,2,2,5,1,3,18
419122,8,4,2010-03-19,3,20,4,1,1,6,1,8,56
419123,5,1,2010-03-20,3,19,5,2,1,34,1,5,211
419124,7,2,2010-03-20,3,18,7,2,2,7,1,2,9
419125,8,6,2010-03-21,3,20,8,2,1,10,1,8,56
419126,3,4,2010-03-21,3,8,3,1,4,,3,4,233
419127,7,1,2010-03-22,3,18,1,2,2,7,1,7,133
419128,2,3,2010-03-23,3,1,3,1,1,36,1,2,46
419129,4,5,2010-03-24,3,2,4,1,1,31,1,5,230
419130,7,3,2010-03-25,3,18,7,1,2,5,1,7,133
419131,5,8,2010-03-26,3,19,8,2,2,8,1,5,31
419132,4,1,2010-03-27,3,2,1,2,1,39,1,1,87
419133,2,6,2010-03-25,3,1,2,1,1,17,1,6,237
419134,5,3,2010-03-28,3,19,5,2,1,17,1,5,183
419135,8,7,2010-03-28,3,9,8,1,1,41,1,7,50
419136,6,1,2010-03-29,3,3,6,2,1,40,1,6,187
419137,7,4,2010-03-30,3,18,7,1,2,4,1,7,194
419138,3,2,2010-03-31,3,8,2,2,2,5,1,3,185
419139,6,5,2010-03-31,3,3,6,2,1,67,1,6,88
419140,1,8,2010-04-01,3,5,1,2,1,24,1,1,1
419141,4,2,2010-04-02,3,2,4,2,2,6,1,2,158
419142,3,5,2010-04-03,3,8,3,2,1,23,1,3,185
419143,7,8,2010-04-03,3,18,7,2,1,63,1,7,208
419144,1,4,2010-04-04,3,5,1,2,2,8,1,4,64
419145,6,2,2010-04-04,3,3,6,2,1,37,1,6,241
419146,8,5,2010-04-05,3,21,5,2,1,2,1,5,38
419147,3,7,2010-04-06,3,8,3,2,1,24,1,3,21
419148,5,4,2010-04-07,3,6,4,2,2,9,1,5,224
419149,1,6,2010-04-07,3,5,1,2,1,14,1,1,1
419150,2,8,2010-04-08,3,1,8,1,2,7,1,8,178
419151,4,7,2010-04-09,3,2,7,2,2,6,1,4,26
419152,8,3,2010-04-10,3,21,3,2,2,6,1,8,188
419153,2,1,2010-04-10,3,1,2,1,2,7,1,2,81
419154,6,4,2010-04-11,3,3,6,2,2,7,1,4,67
419155,5,7,2010-04-11,3,6,5,1,1,37,1,7,133
419156,8,2,2010-04-12,3,21,2,1,1,13,1,8,256
419157,7,6,2010-04-13,3,18,7,2,1,39,1,7,221
419158,3,1,2010-04-13,3,8,1,2,2,9,1,3,201
419159,5,2,2010-04-14,3,6,5,2,2,5,1,2,158
419160,3,6,2010-04-15,3,8,3,2,2,6,1,6,40
419161,4,8,2010-04-16,3,22,8,1,2,5,1,8,57
419162,2,7,2010-04-17,3,1,2,1,1,57,1,7,210
419163,1,5,2010-04-17,3,5,5,2,2,8,1,1,346
419164,4,3,2010-04-18,3,22,3,1,2,6,1,3,20
419165,6,8,2010-04-18,3,3,8,2,1,11,1,8,56
419166,1,7,2010-04-19,3,5,7,2,2,9,1,1,83
419167,2,7,2010-04-21,3,9,7,2,1,35,1,7,221
419168,3,8,2010-04-22,3,9,3,2,1,38,1,3,248
419169,2,8,2010-04-24,3,9,8,2,2,9,1,2,124
419170,3,7,2010-04-25,3,9,3,2,1,22,1,3,21
501203,3,1,2011-04-08,4,8,3,2,1,2,1,3,125
501204,8,5,2011-04-09,4,7,5,1,2,8,1,5,39
501205,9,2,2011-04-09,4,23,9,2,2,6,1,2,110
501206,6,7,2011-04-10,4,3,6,2,2,8,1,7,194
501207,10,4,2011-04-10,4,9,4,2,2,7,1,10,273
501208,1,8,2011-04-11,4,5,1,2,1,9,1,1,9
501209,5,6,2011-04-12,4,6,6,2,2,6,1,5,38
501210,2,7,2011-04-12,4,1,7,1,2,9,1,7,133
501211,4,3,2011-04-13,4,2,4,1,2,6,1,4,167
501212,10,9,2011-04-13,4,9,9,2,2,4,1,10,231
501213,8,2,2011-04-14,4,7,2,1,1,33,1,8,94
501214,5,1,2011-04-15,4,6,1,1,2,9,1,1,40
501215,7,9,2011-04-15,4,4,9,1,2,8,1,9,2
501216,3,2,2011-04-16,4,8,3,2,1,21,1,3,19
501217,8,4,2011-04-16,4,7,4,1,2,8,1,4,167
501218,10,6,2011-04-17,4,9,6,1,2,3,1,6,27
501219,1,5,2011-04-17,4,5,1,1,2,8,1,1,151
501220,9,3,2011-04-18,4,23,9,1,2,7,1,9,2
501221,6,8,2011-04-19,4,3,8,2,1,16,1,8,65
501223,7,10,2011-04-20,4,4,10,2,2,7,1,7,126
501224,1,9,2011-04-20,4,5,1,1,1,6,1,9,64
501225,4,5,2011-04-21,4,2,5,1,1,48,1,4,100
501226,7,3,2011-04-22,4,4,3,1,1,8,1,7,50
501227,1,2,2011-04-22,4,5,2,1,2,9,1,2,162
501228,6,4,2011-04-23,4,3,4,1,1,29,1,6,187
501229,8,7,2011-04-24,4,7,8,1,1,37,1,7,194
501230,5,9,2011-04-24,4,6,5,1,2,8,1,5,38
501231,3,10,2011-04-25,4,8,10,1,1,25,1,3,19
501232,6,2,2011-04-26,4,3,2,1,2,3,1,2,8
501233,10,3,2011-04-27,4,9,10,2,2,8,1,3,248
501234,9,8,2011-04-27,4,23,9,1,1,55,1,8,84
501235,6,1,2011-04-28,4,3,6,1,1,17,1,1,87
501236,5,7,2011-04-29,4,6,5,1,2,7,1,5,192
501237,2,10,2011-04-29,4,1,10,1,1,26,1,2,8
501238,9,6,2011-04-30,4,23,6,2,1,38,1,6,41
501239,1,4,2011-04-30,4,5,1,1,2,8,1,1,140
501240,5,10,2011-05-01,4,6,5,1,2,6,1,5,52
501241,3,8,2011-05-01,4,8,3,2,1,19,1,3,109
501242,7,4,2011-05-02,4,4,4,1,1,23,1,7,221
501243,6,9,2011-05-02,4,3,9,1,2,7,1,9,294
501244,8,1,2011-05-03,4,7,8,1,1,20,1,1,31
501245,3,5,2011-05-04,4,8,5,2,2,8,1,3,19
501246,10,7,2011-05-04,4,9,10,1,1,21,1,7,235
501247,9,1,2011-05-05,4,23,1,1,1,17,1,9,104
501248,8,6,2011-05-05,4,7,6,1,2,4,1,6,41
501249,2,4,2011-05-06,4,1,4,1,1,85,1,2,162
501250,1,3,2011-05-07,4,5,3,2,1,10,1,1,140
501251,7,6,2011-05-07,4,4,6,1,1,32,1,7,208
501252,2,9,2011-05-08,4,1,9,2,2,9,1,2,162
501253,4,10,2011-05-08,4,2,4,2,2,5,1,10,235
501254,5,3,2011-05-09,4,6,5,1,1,63,1,3,185
501255,8,10,2011-05-10,4,7,8,2,2,6,1,10,253
501256,4,7,2011-05-10,4,2,7,1,1,76,1,4,302
501257,5,2,2011-05-11,4,6,2,1,2,9,1,2,270
501258,3,6,2011-05-12,4,8,3,2,1,18,1,3,20
501259,9,4,2011-05-13,4,24,4,1,2,6,1,4,88
501260,2,1,2011-05-14,4,1,2,1,2,4,1,2,162
501261,7,8,2011-05-14,4,4,8,2,1,10,1,8,136
501262,4,6,2011-05-15,4,22,6,1,1,29,1,4,67
501263,9,5,2011-05-15,4,24,9,1,2,8,1,9,104
501264,10,8,2011-05-16,4,9,8,1,2,6,1,8,136
501265,4,2,2011-05-17,4,22,4,2,1,111,1,4,53
501266,3,9,2011-05-18,4,8,3,2,1,11,1,3,62
501267,10,1,2011-05-19,4,9,1,1,2,7,1,1,31
501268,7,5,2011-05-20,4,4,7,2,2,10,1,5,32
501269,4,8,2011-05-21,4,22,4,1,1,82,1,8,42
501270,6,10,2011-05-21,4,3,6,2,3,,2,,
501271,2,3,2011-05-22,4,1,2,1,2,8,1,2,162
501272,1,7,2011-05-22,4,5,7,1,2,5,1,7,275
501273,2,3,2011-05-24,4,4,3,1,2,6,1,3,21
501274,7,1,2011-05-25,4,4,7,1,2,4,1,7,126
501275,2,7,2011-05-27,4,8,7,1,1,43,1,2,162
501276,3,2,2011-05-28,4,8,3,2,1,58,1,3,185
548311,3,7,2012-04-04,5,8,7,1,2,8,1,7,304
548312,1,6,2012-04-05,5,5,6,1,2,8,1,6,29
548313,7,10,2012-04-06,5,4,7,1,1,28,1,10,306
548314,5,4,2012-04-06,5,6,4,1,1,31,1,5,85
548315,2,6,2012-04-07,5,1,6,1,1,20,1,2,110
548316,8,3,2012-04-07,5,25,8,1,1,74,1,3,35
548317,5,1,2012-04-08,5,6,1,1,1,22,1,5,104
548318,10,4,2012-04-08,5,26,10,2,1,22,1,10,307
548319,8,7,2012-04-09,5,25,8,2,2,5,1,7,57
548320,2,1,2012-04-10,5,1,2,1,1,42,1,1,151
548321,6,3,2012-04-10,5,3,6,1,2,8,1,6,190
548322,7,5,2012-04-11,5,4,5,1,1,27,1,7,221
548323,3,2,2012-04-12,5,8,2,2,2,5,1,3,303
548324,4,10,2012-04-12,5,2,4,1,2,7,1,4,137
548325,1,5,2012-04-13,5,5,5,2,2,5,1,1,276
548326,6,8,2012-04-19,5,3,8,2,2,5,1,6,158
548327,10,3,2012-04-14,5,26,3,2,2,7,1,10,157
548328,1,4,2012-04-15,5,5,1,1,1,2,1,4,315
548329,2,5,2012-04-15,5,1,5,2,1,59,1,5,85
548330,7,6,2012-04-16,5,4,6,1,2,7,1,6,293
548331,5,8,2012-04-17,5,6,8,2,2,5,1,5,104
548332,2,10,2012-04-17,5,1,10,2,2,6,1,2,162
548333,4,1,2012-04-18,5,2,4,2,2,8,1,1,40
548334,8,6,2012-05-10,5,7,8,2,2,9,1,6,187
548335,3,10,2012-04-19,5,8,10,1,1,13,1,3,324
548336,4,2,2012-04-20,5,2,2,1,2,5,1,2,162
548337,3,5,2012-04-21,5,8,5,2,2,7,1,3,303
548338,6,10,2012-04-21,5,3,6,1,1,20,1,10,1
548339,7,4,2012-04-22,5,4,7,2,2,6,1,4,100
548340,8,1,2012-04-22,5,20,1,1,2,5,1,1,66
548341,5,2,2012-04-23,5,6,5,1,1,46,1,2,110
548342,10,6,2012-04-24,5,26,10,2,2,8,1,6,41
548344,4,7,2012-04-25,5,2,4,2,2,4,1,7,208
548346,10,8,2012-04-26,5,26,8,2,1,18,1,8,10
548347,6,7,2012-04-27,5,3,7,1,1,37,1,6,41
548348,3,4,2012-04-28,5,8,4,2,1,7,1,4,236
548349,1,2,2012-04-28,5,5,1,2,1,47,1,1,40
548350,6,5,2012-04-29,5,3,6,2,1,1,1,6,41
548351,7,8,2012-04-29,5,4,7,1,2,5,1,7,94
548352,3,1,2012-04-30,5,8,3,2,2,5,1,1,40
548353,8,10,2012-05-01,5,20,8,2,1,13,1,8,26
548354,5,6,2012-05-01,5,6,5,2,2,6,1,6,322
548355,2,4,2012-05-02,5,1,4,1,2,4,1,4,321
548356,10,7,2012-05-03,5,26,7,2,1,1,1,7,194
548357,3,8,2012-05-04,5,8,3,2,1,10,1,3,21
548358,1,10,2012-05-05,5,5,1,2,1,7,1,1,315
548359,4,5,2012-05-05,5,2,5,2,1,43,1,5,32
548360,7,3,2012-05-06,5,4,7,1,2,2,1,7,147
548361,2,8,2012-05-06,5,1,2,1,2,5,1,2,110
548362,6,1,2012-05-07,5,3,6,2,2,6,1,1,9
548363,10,5,2012-05-08,5,26,10,2,2,7,1,5,32
548364,8,4,2012-05-08,5,7,8,1,1,25,1,4,236
548365,7,2,2012-05-09,5,4,2,1,2,9,1,2,162
548366,5,3,2012-05-10,5,6,3,1,2,4,1,3,451
548367,10,2,2012-05-11,5,26,10,1,1,35,1,2,162
548368,1,7,2012-05-12,5,5,7,2,1,27,1,7,57
548369,3,6,2012-05-12,5,8,3,1,2,9,1,3,451
548370,5,10,2012-05-13,5,6,5,2,1,45,1,5,335
548371,4,8,2012-05-13,5,2,8,2,2,4,1,4,4
548372,2,7,2012-05-14,5,1,7,1,2,5,1,7,208
548373,1,3,2012-05-14,5,5,3,1,2,5,1,3,19
548374,6,4,2012-05-15,5,3,4,2,2,5,1,6,232
548375,7,1,2012-05-16,5,4,7,1,1,32,1,1,315
548376,4,3,2012-05-17,5,22,4,1,2,6,1,4,53
548377,6,2,2012-05-17,5,3,6,1,1,21,1,2,162
548378,8,5,2012-05-18,5,7,5,2,2,5,1,8,94
548379,4,6,2012-05-19,5,22,6,1,2,6,1,6,232
548380,10,1,2012-05-19,5,26,1,2,1,34,1,1,276
548381,8,2,2012-05-20,5,7,2,1,1,9,1,8,94
548382,5,7,2012-05-20,5,6,5,2,2,10,1,7,147
548383,6,1,2012-05-22,5,26,1,2,1,18,1,1,31
548384,3,7,2012-05-23,5,1,7,1,1,38,1,3,20
548385,6,3,2012-05-25,5,8,6,1,1,86,1,3,185
548386,1,3,2012-05-27,5,8,3,2,2,5,1,1,214
598003,1,6,2013-04-03,6,5,1,1,2,6,1,1,315
598004,2,7,2013-04-04,6,1,7,1,1,2,1,2,162
598005,11,10,2013-04-05,6,7,10,1,1,22,1,11,136
598006,6,5,2013-04-06,6,3,5,2,1,5,1,5,6
598007,3,7,2013-04-06,6,8,7,2,1,9,1,7,221
598008,10,4,2013-04-07,6,26,10,2,2,8,1,4,345
598009,11,2,2013-04-07,6,7,2,2,4,,3,11,340
598010,5,1,2013-04-08,6,6,1,1,1,19,1,5,39
598011,7,6,2013-04-09,6,4,7,2,1,44,1,7,88
598012,4,3,2013-04-10,6,2,3,1,2,10,1,3,19
598013,2,1,2013-04-11,6,1,2,1,2,8,1,2,162
598014,10,5,2013-04-11,6,26,5,2,2,7,1,10,254
598015,6,11,2013-04-12,6,3,6,2,2,3,1,11,136
598016,7,10,2013-04-13,6,4,7,2,1,41,1,7,57
598017,3,2,2013-04-13,6,8,3,1,2,4,1,3,35
598018,1,11,2013-04-14,6,5,1,2,1,48,1,1,40
598019,5,4,2013-04-14,6,6,5,1,2,6,1,5,310
598020,3,10,2013-04-15,6,8,10,2,1,24,1,10,306
598021,4,1,2013-04-16,6,2,1,1,1,4,1,4,120
598022,2,6,2013-04-16,6,1,2,1,4,,3,2,8
598023,10,11,2013-04-17,6,26,10,1,1,11,1,11,136
598024,5,7,2013-04-17,6,6,5,2,1,87,1,5,85
598025,6,3,2013-04-18,6,3,3,2,1,86,1,3,19
598026,11,4,2013-04-19,6,7,4,2,2,5,1,11,340
598027,1,3,2013-04-20,6,5,1,2,2,4,1,3,35
598028,2,5,2013-04-20,6,1,2,1,2,7,1,2,81
598029,6,7,2013-04-21,6,3,7,2,2,9,1,6,41
598030,4,10,2013-04-21,6,2,4,1,2,7,1,4,320
598031,3,5,2013-04-22,6,8,5,2,2,5,1,3,19
598032,2,10,2013-04-23,6,1,10,1,1,130,1,2,162
598033,4,6,2013-05-16,6,22,6,1,1,7,1,4,320
598034,1,7,2013-04-24,6,5,1,2,2,5,1,7,147
598035,3,11,2013-04-25,6,8,11,2,2,5,1,3,20
598036,1,4,2013-04-26,6,5,4,2,2,6,1,1,9
598037,5,11,2013-04-27,6,6,11,2,2,8,1,5,310
598038,7,2,2013-04-27,6,4,7,2,1,58,1,7,147
598039,3,1,2013-04-28,6,8,1,1,1,14,1,3,19
598040,6,10,2013-04-28,6,27,10,1,1,15,1,6,187
598041,5,2,2013-04-29,6,6,5,1,2,4,1,5,351
598042,7,4,2013-04-29,6,4,7,2,1,4,1,7,57
598043,10,3,2013-04-30,6,26,3,2,1,37,1,3,20
598044,11,7,2013-05-01,6,7,7,2,2,7,1,11,84
598045,6,1,2013-05-01,6,27,1,2,2,7,1,6,187
598046,3,4,2013-05-02,6,8,3,2,1,15,1,3,21
598047,10,2,2013-05-02,6,26,2,2,1,17,1,2,110
598048,1,5,2013-05-03,6,5,5,2,2,8,1,1,31
598049,11,6,2013-05-04,6,7,6,2,2,6,1,11,362
598050,2,4,2013-05-14,6,1,4,1,2,7,1,4,53
598051,7,3,2013-05-05,6,4,7,2,1,60,1,7,357
598052,5,10,2013-05-05,6,6,10,2,2,5,1,5,85
598053,2,11,2013-04-09,6,1,11,2,2,7,1,2,8
598054,5,6,2013-05-07,6,6,6,2,2,9,1,5,85
598055,7,1,2013-05-07,6,4,7,2,1,65,1,7,133
598056,11,3,2013-05-08,6,7,11,1,1,77,1,3,21
598057,4,5,2013-05-09,6,2,5,1,2,8,1,5,309
598058,10,1,2013-05-09,6,26,1,2,1,46,1,1,40
598059,6,2,2013-05-10,6,3,6,1,1,4,1,2,346
598060,10,7,2013-05-11,6,26,10,2,2,5,1,7,357
598061,4,11,2013-05-11,6,2,4,1,1,30,1,11,17
598062,1,2,2013-05-12,6,28,1,1,2,5,1,1,9
598063,5,3,2013-05-12,6,6,5,1,2,5,1,5,32
598064,6,4,2013-04-23,6,3,4,1,2,5,1,4,256
598065,7,11,2013-05-13,6,4,11,2,2,7,1,7,221
598066,1,10,2013-05-15,6,28,1,1,1,7,1,10,96
598067,3,6,2013-05-14,6,8,3,2,1,33,1,3,20
598068,7,5,2013-05-15,6,4,5,1,1,14,1,7,207
598069,4,2,2013-05-06,6,2,4,1,2,6,1,4,320
598070,11,5,2013-05-17,6,7,11,2,1,23,1,11,136
598071,4,7,2013-05-18,6,22,7,1,1,50,1,4,321
598072,10,6,2013-05-19,6,26,10,2,1,38,1,10,358
598073,2,3,2013-05-18,6,1,3,1,1,24,1,2,8
598074,11,1,2013-05-19,6,7,1,2,2,5,1,11,17
598075,3,7,2013-05-21,6,3,3,2,1,48,1,3,19
598076,5,11,2013-05-22,6,3,11,2,2,4,1,5,104
598077,7,5,2013-05-24,6,5,5,2,2,4,1,7,50
598078,3,7,2013-05-26,6,5,7,2,1,23,1,7,221
729284,7,1,2014-04-16,7,29,1,2,1,41,1,1,9
729286,6,2,2014-04-17,7,30,2,1,2,8,1,2,382
729288,3,4,2014-04-18,7,29,3,2,2,6,1,4,305
729290,11,5,2014-04-18,7,29,5,1,2,4,1,5,85
729292,2,7,2014-04-19,7,31,2,1,2,7,1,2,17
729294,1,6,2014-04-19,7,31,1,2,2,4,1,6,154
729296,5,4,2014-04-20,7,30,4,1,2,7,1,4,305
729298,3,6,2014-04-21,7,29,3,2,1,93,1,3,21
729300,4,11,2014-04-22,7,30,11,1,1,72,1,4,305
729302,5,3,2014-04-23,7,31,5,1,1,7,1,3,35
729304,2,1,2014-04-24,7,30,2,1,1,2,1,1,336
729306,11,6,2014-04-25,7,31,11,2,1,4,1,11,254
729308,3,7,2014-04-25,7,31,7,2,2,7,1,3,364
729310,5,2,2014-04-26,7,29,5,1,2,6,1,5,370
729312,1,4,2014-04-26,7,29,1,1,1,23,1,4,367
729314,6,7,2014-04-27,7,30,7,2,2,6,1,6,185
729316,11,3,2014-04-27,7,30,11,2,2,5,1,3,147
729318,4,2,2014-04-28,7,31,4,1,2,5,1,4,367
729320,1,5,2014-04-29,7,29,5,2,4,,3,5,310
729322,7,11,2014-04-30,7,31,7,1,1,15,1,11,299
733976,3,1,2014-05-02,7,28,3,2,1,34,1,3,35
733978,7,4,2014-05-03,7,4,4,2,2,5,1,7,372
733980,6,5,2014-05-03,7,3,5,1,2,7,1,5,339
733982,2,11,2014-05-04,7,1,2,1,2,4,1,2,110
733984,5,1,2014-05-05,7,19,1,1,1,10,1,5,370
733986,6,3,2014-05-05,7,3,3,1,2,8,1,3,147
733988,7,2,2014-05-06,7,4,2,1,1,19,1,7,57
733990,6,1,2014-05-07,7,3,6,2,2,8,1,1,40
733992,4,3,2014-05-07,7,20,3,1,1,44,1,4,305
733994,5,11,2014-05-08,7,19,5,1,1,32,1,11,299
733996,2,4,2014-05-09,7,1,2,1,1,32,1,4,367
733998,6,11,2014-05-10,7,3,11,1,2,8,1,11,94
734000,7,3,2014-05-10,7,4,3,1,2,4,1,3,147
734002,4,1,2014-05-11,7,20,1,1,2,9,1,1,40
